mcid,movie_id,company_id,ctype,note
340,158852,59778,production,
341,177572,2,production,
342,177572,6125,production,
343,82690,6125,production,
344,5255,1867,production,
345,5255,4171,production,
346,5255,11395,production,
347,47933,306,production,
348,47933,347,production,
349,47933,22213,production,
350,47933,86561,production,
351,10191,521,production,
352,10191,829,production,
353,10191,20154,production,
354,296,5,production,
355,296,763,production,
356,296,6194,production,
357,296,7340,production,
358,296,19116,production,
359,296,23636,production,
360,118340,420,production,
361,118340,20478,production,
362,118340,54850,production,
363,118340,76043,production,
364,157336,4,production,
365,157336,923,production,
366,157336,6194,production,
367,157336,9996,production,
368,157336,13769,production,
369,27205,923,production,
370,27205,6194,production,
371,27205,9996,production,
372,315011,5896,production,
373,315011,49301,production,
374,49051,11,production,
375,49051,12,production,
376,49051,174,production,
377,49051,8411,production,
378,9799,33,production,
379,9799,333,production,
380,9799,26281,production,
381,9799,26282,production,
382,4922,4,production,
383,4922,6194,production,
384,4922,7383,production,
385,49538,289,production,
386,49538,290,production,
387,49538,306,production,
388,49538,431,production,
389,49538,444,production,
390,49538,6332,production,
391,49538,7505,production,
392,49538,9168,production,
393,49538,10893,production,
394,131634,264,production,
395,131634,1632,production,
396,131634,5420,production,
397,27022,2,production,
398,27022,130,production,
399,27022,831,production,
400,27022,8000,production,
401,27022,19097,production,
402,503,449,production,
403,503,1633,production,
404,503,6194,production,
405,503,14024,production,
406,503,18990,production,
407,503,19943,production,
408,241259,2,production,
409,241259,598,production,
410,241259,8601,production,
411,241259,16314,production,
412,241259,37455,production,
413,810,27,production,
414,810,521,production,
415,68735,33,production,
416,68735,507,production,
417,68735,923,production,
418,68735,16028,production,
419,87101,4,production,
420,87101,13184,production,
421,87101,82819,production,
422,10140,444,production,
423,10140,711,production,
424,10140,10221,production,
425,676,130,production,
426,676,9195,production,
427,1858,4,production,
428,1858,27,production,
429,1858,56,production,
430,1858,435,production,
431,1858,2481,production,
432,1858,12247,production,
433,1858,20011,production,
434,1858,22826,production,
435,1858,76043,production,
436,1966,591,production,
437,1966,763,production,
438,1966,866,production,
439,1966,4588,production,
440,1966,6194,production,
441,1966,10926,production,
442,1966,19116,production,
443,1966,54997,production,
444,675,6194,production,
445,675,7364,production,
446,674,462,production,
447,674,6194,production,
448,674,7364,production,
449,8960,5,production,
450,8960,433,production,
451,8960,675,production,
452,8960,7295,production,
453,8960,12485,production,
454,8960,28064,production,
455,8960,41756,production,
456,6479,79,production,
457,6479,333,production,
458,6479,433,production,
459,6479,6194,production,
460,6479,7364,production,
461,6479,12485,production,
462,118,79,production,
463,118,80,production,
464,118,6194,production,
465,118,8601,production,
466,118,45778,production,
467,118,55512,production,
468,2062,2,production,
469,2062,3,production,
470,272,429,production,
471,272,923,production,
472,272,6194,production,
473,272,9993,production,
474,272,9996,production,
475,272,19231,production,
476,10527,521,production,
477,18360,306,production,
478,18360,436,production,
479,18360,444,production,
480,18360,2575,production,
481,18360,10224,production,
482,18360,20478,production,
483,2080,289,production,
484,2080,306,production,
485,2080,431,production,
486,2080,444,production,
487,2080,9076,production,
488,2080,9168,production,
489,2080,10893,production,
490,2080,19551,production,
491,605,79,production,
492,605,172,production,
493,605,1885,production,
494,605,6194,production,
495,109445,2,production,
496,109445,6125,production,
497,604,79,production,
498,604,172,production,
499,604,375,production,
500,604,1885,production,
501,604,6194,production,
502,76338,420,production,
503,76341,79,production,
504,76341,2537,production,
505,76341,6194,production,
506,13448,5,production,
507,13448,23,production,
508,13448,5561,production,
509,13448,8253,production,
510,10195,420,production,
511,13053,6125,production,
512,19585,2,production,
513,19585,130,production,
